"","dates","values"
"432",1991-01-01,9.2
"433",1991-02-01,8.8
"434",1991-03-01,8.7
"435",1991-04-01,8.7
"436",1991-05-01,8.7
"437",1991-06-01,8.7
"438",1991-07-01,9
"439",1991-08-01,9.1
"440",1991-09-01,8.9
"441",1991-10-01,8.9
"442",1991-11-01,8.9
"443",1991-12-01,8.8
"444",1992-01-01,8.5
"445",1992-02-01,8.3
"446",1992-03-01,8.3
"447",1992-04-01,8.5
"448",1992-05-01,8.6
"449",1992-06-01,8.6
"450",1992-07-01,8.7
"451",1992-08-01,8.8
"452",1992-09-01,8.4
"453",1992-10-01,7.8
"454",1992-11-01,7.6
"455",1992-12-01,7.5
"456",1993-01-01,7.2
"457",1993-02-01,7
"458",1993-03-01,6.6
"459",1993-04-01,6.7
"460",1993-05-01,6.8
"461",1993-06-01,6.8
"462",1993-07-01,6.6
"463",1993-08-01,6.4
"464",1993-09-01,6.1
"465",1993-10-01,6
"466",1993-11-01,5.8
"467",1993-12-01,5.6
"468",1994-01-01,5.6
"469",1994-02-01,5.8
"470",1994-03-01,6.2
"471",1994-04-01,6.4
"472",1994-05-01,6.5
"473",1994-06-01,6.9
"474",1994-07-01,6.8
"475",1994-08-01,7
"476",1994-09-01,7.4
"477",1994-10-01,7.5
"478",1994-11-01,7.5
"479",1994-12-01,7.5
"480",1995-01-01,7.6
"481",1995-02-01,7.4
"482",1995-03-01,7.2
"483",1995-04-01,6.8
"484",1995-05-01,6.6
"485",1995-06-01,6.4
"486",1995-07-01,6.5
"487",1995-08-01,6.4
"488",1995-09-01,6.1
"489",1995-10-01,6.1
"490",1995-11-01,5.8
"491",1995-12-01,5.5
"492",1996-01-01,5.3
"493",1996-02-01,5.6
"494",1996-03-01,5.8
"495",1996-04-01,5.7
"496",1996-05-01,5.7
"497",1996-06-01,5.8
"498",1996-07-01,5.8
"499",1996-08-01,5.6
"500",1996-09-01,5.5
"501",1996-10-01,5.2
"502",1996-11-01,5.2
"503",1996-12-01,5.1
"504",1997-01-01,5
"505",1997-02-01,4.8
"506",1997-03-01,5
"507",1997-04-01,5.1
"508",1997-05-01,5
"509",1997-06-01,4.9
"510",1997-07-01,4.8
"511",1997-08-01,5
"512",1997-09-01,5.1
"513",1997-10-01,5.2
"514",1997-11-01,5.3
"515",1997-12-01,5.1
"516",1998-01-01,4.9
"517",1998-02-01,4.8
"518",1998-03-01,4.7
"519",1998-04-01,4.8
"520",1998-05-01,4.8
"521",1998-06-01,4.7
"522",1998-07-01,4.6
"523",1998-08-01,4.4
"524",1998-09-01,4.1
"525",1998-10-01,4.1
"526",1998-11-01,4.1
"527",1998-12-01,3.8
"528",1999-01-01,3.6
"529",1999-02-01,3.7
"530",1999-03-01,3.8
"531",1999-04-01,3.6
"532",1999-05-01,3.7
"533",1999-06-01,4.1
"534",1999-07-01,4.5
"535",1999-08-01,4.8
"536",1999-09-01,4.9
"537",1999-10-01,5.2
"538",1999-11-01,5
"539",1999-12-01,5.1
"540",2000-01-01,5.4
"541",2000-02-01,5.5
"542",2000-03-01,5.4
"543",2000-04-01,5.3
"544",2000-05-01,5.7
"545",2000-06-01,5.6
"546",2000-07-01,5.7
"547",2000-08-01,5.7
"548",2000-09-01,5.7
"549",2000-10-01,5.7
"550",2000-11-01,5.6
"551",2000-12-01,5.3
"552",2001-01-01,5.1
"553",2001-02-01,5
"554",2001-03-01,4.9
"555",2001-04-01,5
"556",2001-05-01,5.1
"557",2001-06-01,5.1
"558",2001-07-01,5.1
"559",2001-08-01,4.9
"560",2001-09-01,4.7
"561",2001-10-01,4.5
"562",2001-11-01,4.4
"563",2001-12-01,4.7
"564",2002-01-01,4.8
"565",2002-02-01,4.9
"566",2002-03-01,5.1
"567",2002-04-01,5.1
"568",2002-05-01,5.1
"569",2002-06-01,5
"570",2002-07-01,4.8
"571",2002-08-01,4.5
"572",2002-09-01,4.3
"573",2002-10-01,4.3
"574",2002-11-01,4.2
"575",2002-12-01,4.1
